,work_year,early_return_amount,issue_date_dayofweek,pub_dero_bankrup,region,f2,f0,employer_type,total_loan,house_exist,recircle_b,del_in_18month,loan_id,initial_list_status,scoring_high,f3,scoring_low,earlies_to_current_mon,earliesCreditYear,year_of_loan,earliesCreditMon,censor_status,early_return,isDefault,monthly_payment,title,early_return_amount_3mon,industry,interest,class,use,f4,issue_date_month,recircle_u,user_id,post_code,debt_loan_ratio
14,1,0,2,0.0,27,14.0,0.0,3,12825.0,1,0.0,0,1049141,0,816.6666667,11.0,700.0,6635,1996,5,8,2,0,0,318.67,3,0.0,11,16.99,4,3,7.0,10,0.0,249141,624,8.02
15,9,0,2,1.0,8,16.0,0.0,4,26181.81818,0,0.0,0,1013975,0,809.5454545,8.0,747.2727273,7702,1995,5,5,2,0,0,675.98,0,0.0,2,9.75,2,0,5.0,6,0.0,213975,115,11.97
16,2,0,1,0.0,8,6.0,0.0,4,29545.45455,1,0.0,0,1037791,1,782.9545455,8.0,722.7272727,3437,2005,5,2,1,0,1,543.44,9,0.0,3,12.089,2,8,5.0,7,0.0,237791,136,20.56090909
17,8,4138,4,0.0,22,10.0,0.0,3,14181.81818,0,0.0,0,1043675,0,704.1666667,12.0,650.0,5601,1999,3,4,0,1,0,374.33,0,1241.4,8,8.459,1,0,6.0,8,0.0,243675,528,13.19
18,7,1723,0,0.0,2,5.0,0.0,2,20000.0,0,0.0,2,1030419,0,634.7727273,6.0,544.0909091,7000,1996,5,4,1,0,0,407.26,4,344.6,1,8.998,2,4,5.0,6,0.0,230419,162,7.028181818
19,3,1112,1,0.0,34,9.0,0.0,4,2325.0,0,0.0,0,1035157,0,668.1818182,8.0,572.7272727,4108,2004,3,12,2,2,0,72.74,0,111.2,2,7.101,1,0,3.0,3,0.0,235157,745,2.61
20,10,486,0,0.0,26,8.0,0.0,2,4929.545455,2,0.0,8,1015530,1,831.25,13.0,665.0,6605,1999,3,4,1,3,0,228.39,0,145.8,10,19.305,4,0,4.0,5,0.0,215530,177,28.16
21,0,1653,4,0.0,4,94.0,34.0,4,6363.636364,1,0.0,0,1006267,1,845.0,89.0,780.0,1338,2005,3,9,0,0,0,233.21,19104,0.0,7,10.989,2,13,51.0,5,0.0,206267,814,0.0
22,5,0,4,0.0,7,12.0,0.0,1,8509.090909,0,0.0,0,1011299,0,1009.090909,14.0,807.2727273,2862,2008,5,3,0,0,1,238.99,0,0.0,4,13.44,3,0,13.0,1,0.0,211299,282,18.55636364
23,0,2537,0,0.0,30,2.0,0.0,2,18181.81818,1,0.0,0,1022059,0,922.7272727,3.0,790.9090909,6150,2001,3,3,0,1,0,758.14,0,0.0,7,21.45,4,0,2.0,1,0.0,222059,422,0.0
24,6,0,6,0.0,2,94.0,34.0,3,5000.0,1,0.0,0,1048815,1,910.0,89.0,780.0,4444,1999,5,3,0,0,0,113.74,3217,0.0,13,14.289,3,8,51.0,5,0.0,248815,31,6.75
25,0,0,4,0.0,14,94.0,34.0,4,16363.63636,1,0.0,0,1018462,1,862.7272727,89.0,796.3636364,1887,2004,3,11,0,0,0,517.13,16582,0.0,11,16.071,4,3,51.0,1,0.0,218462,64,8.336363636
26,4,0,4,0.0,13,94.0,34.0,1,17727.27273,0,0.0,0,1017356,1,725.4545455,89.0,621.8181818,7305,1991,3,7,2,0,0,483.94,6014,0.0,7,8.991,2,0,51.0,7,0.0,217356,17,0.0
27,5,0,3,0.0,2,1.0,0.0,4,4090.909091,1,0.0,0,1049659,0,956.25,12.0,765.0,3227,2007,3,11,2,0,0,150.58,10,0.0,12,4.788,1,9,5.0,9,0.0,249659,31,0.0
28,4,0,3,0.0,14,1.0,0.0,0,19636.36364,0,0.0,0,1036965,0,782.3863636,5.0,625.9090909,5997,1998,3,8,1,0,0,746.44,4,0.0,10,7.49,1,4,5.0,1,0.0,236965,64,9.84
29,10,670,5,0.0,21,94.0,34.0,4,5454.545455,2,0.0,0,1040276,1,975.0,89.0,780.0,7427,1991,3,6,1,0,0,187.75,1312,134.0,10,8.69,1,0,51.0,10,0.0,240276,369,5.170909091
30,10,0,6,1.0,43,2.0,0.0,3,10000.0,0,0.0,0,1002633,0,840.0,3.0,720.0,1885,2013,5,2,2,0,0,292.58,5,0.0,10,27.324,5,2,2.0,4,0.0,202633,376,6.6
31,10,4637,0,0.0,14,3.0,0.0,4,9818.181818,2,0.0,0,1036725,0,792.6136364,11.0,634.0909091,9284,1990,3,9,1,0,0,391.62,4,0.0,12,11.858,2,4,5.0,2,0.0,236725,582,10.15363636
32,0,3479,5,1.0,47,7.0,0.0,4,7636.363636,2,0.0,0,1015237,1,616.0227273,7.0,568.6363636,10197,1990,3,10,1,0,0,256.38,5,347.9,13,17.046,4,2,3.0,9,0.0,215237,515,16.91
33,1,0,2,0.0,10,94.0,34.0,4,6381.818182,1,0.0,0,1033717,1,855.8333333,89.0,790.0,2466,2003,5,12,0,0,0,172.96,12507,0.0,13,13.046,2,1,51.0,9,0.0,233717,72,3.636363636
34,3,0,6,1.0,5,5.0,0.0,2,4363.636364,2,0.0,0,1009512,0,723.8636364,15.0,668.1818182,6028,1997,3,3,0,0,0,137.3,24868,0.0,3,15.73,3,5,8.0,9,0.0,209512,191,25.93
35,10,2291,0,0.0,8,6.0,0.0,2,8727.272727,0,0.0,0,1017235,0,856.25,13.0,685.0,5328,2001,3,7,2,1,0,318.82,5,687.3,13,10.791,3,2,5.0,2,0.0,217235,140,24.57818182
36,10,0,4,0.0,13,16.0,0.0,4,41363.63636,2,0.0,3,1046734,0,726.1363636,6.0,580.9090909,5479,2001,3,7,1,0,0,1175.76,0,0.0,0,14.069,3,0,4.0,7,0.0,246734,17,8.770909091
37,1,0,3,0.0,30,12.0,0.0,3,9500.0,1,0.0,0,1014106,0,823.8636364,7.0,659.0909091,1522,2010,3,3,1,0,1,302.85,8,0.0,0,8.253,2,7,2.0,5,0.0,214106,302,11.34545455
38,-1,1795,2,0.0,39,0.0,0.0,3,8804.545455,0,0.0,1,1014797,1,807.0833333,22.0,745.0,12387,1981,3,8,2,3,0,270.28,5,0.0,7,16.425,5,2,13.0,7,0.0,214797,578,0.0
39,10,4663,2,0.0,21,94.0,34.0,1,25068.18182,0,0.0,0,1034165,1,777.2727273,89.0,621.8181818,4565,2000,3,2,2,3,0,862.83,55804,466.3,3,8.69,1,2,51.0,8,0.0,234165,108,4.018181818
40,10,1382,3,0.0,11,7.0,0.0,3,14181.81818,0,0.0,0,1020642,0,758.3333333,10.0,700.0,9620,1990,3,5,2,1,0,407.17,0,138.2,7,14.839,3,0,9.0,9,0.0,220642,619,7.927272727
41,5,0,3,0.0,2,22.0,0.0,4,5454.545455,1,0.0,0,1002588,1,585.0,3.0,540.0,3621,2005,3,11,2,0,1,179.69,0,0.0,11,15.813,4,0,1.0,10,0.0,202588,31,9.400909091
42,10,2881,1,0.0,3,8.0,0.0,4,7681.818182,0,0.0,3,1000346,0,731.25,9.0,675.0,4474,2003,3,12,2,3,0,248.14,0,288.1,13,24.167,5,0,6.0,3,0.0,200346,541,11.30181818
43,5,2451,3,0.0,13,8.0,0.0,4,10425.0,1,0.0,1,1002101,1,846.3636364,3.0,725.4545455,1767,2010,3,3,2,2,0,369.04,0,490.2,2,14.841,4,0,3.0,1,0.0,202101,25,0.0
44,4,5198,3,0.0,8,94.0,34.0,4,13636.36364,2,0.0,0,1039849,1,869.1666667,89.0,745.0,3681,2002,3,2,1,0,0,510.27,299,519.8,8,15.037,2,4,51.0,3,0.0,239849,277,19.47272727
45,6,3871,6,0.0,8,94.0,34.0,0,14545.45455,0,0.0,0,1026507,1,927.5,89.0,795.0,5599,1996,5,1,1,0,0,342.88,1968,0.0,13,11.407,2,2,51.0,5,0.0,226507,171,0.0
46,1,1545,4,0.0,4,94.0,34.0,2,5600.0,1,0.0,0,1018344,1,793.3333333,89.0,680.0,1218,2006,3,9,0,0,0,202.7,16698,463.5,8,16.281,6,1,51.0,1,0.0,218344,160,8.909090909
47,10,1936,2,0.0,8,3.0,0.0,4,4181.818182,1,0.0,0,1044477,1,1000.0,6.0,800.0,3745,2002,3,5,0,3,0,141.24,5298,387.2,11,5.958,1,8,6.0,8,0.0,244477,277,5.192727273
48,2,11081,6,0.0,21,5.0,0.0,2,24545.45455,0,0.0,0,1031640,0,780.0,19.0,720.0,7397,1994,3,11,2,3,0,956.37,5,3324.3,10,10.087,2,2,10.0,2,0.0,231640,253,0.0
49,2,0,6,0.0,8,0.0,0.0,4,1527.272727,1,0.0,1,1001834,0,940.9090909,6.0,752.7272727,2009,2012,3,4,0,0,0,47.91,6,0.0,5,14.08,3,5,1.0,10,0.0,201834,235,0.0
50,1,0,5,0.0,23,94.0,34.0,4,1500.0,0,0.0,1,1048437,1,954.5454545,89.0,763.6363636,9220,1985,3,2,0,0,0,50.63,14481,0.0,13,11.799,3,5,51.0,5,0.0,248437,576,2.14
51,0,0,4,0.0,8,94.0,34.0,4,3663.636364,0,0.0,0,1027420,1,642.6136364,89.0,593.1818182,2281,2005,5,1,1,0,0,66.44,8223,0.0,13,9.333,2,8,51.0,4,0.0,227420,139,11.60181818
52,-1,0,5,0.0,38,8.0,0.0,4,11227.27273,2,0.0,0,1015845,0,715.9090909,3.0,572.7272727,4779,2005,3,8,2,0,1,308.64,6,0.0,13,9.423,2,5,2.0,9,0.0,215845,785,49.14
53,2,0,1,0.0,14,15.0,0.0,4,16363.63636,2,0.0,0,1001880,0,664.7727273,4.0,613.6363636,7427,1994,5,3,2,0,0,343.99,3,0.0,12,14.685,3,3,3.0,7,0.0,201880,755,12.34
54,6,1030,5,0.0,21,4.0,1.0,4,4727.272727,0,4.307692308,0,1013335,1,845.0,2.0,780.0,2435,2006,3,1,0,3,0,124.65,54890,309.0,11,8.382,1,9,1.0,9,0.1,213335,456,9.229090909
55,0,1986,0,0.0,8,2.0,1.0,4,13827.27273,1,4.615384615,0,1048224,1,791.8181818,5.0,730.9090909,3562,2008,3,4,1,1,0,382.55,0,198.6,1,12.001,2,0,5.0,1,0.115384615,248224,242,6.34
56,7,0,4,0.0,27,5.0,1.0,3,10909.09091,1,6.461538462,0,1033582,1,668.1818182,7.0,572.7272727,6027,2001,3,6,1,0,1,322.35,0,0.0,11,10.923,2,0,4.0,12,0.553846154,233582,553,15.87272727
57,7,5835,0,0.0,14,4.0,1.0,4,16000.0,1,7.384615385,0,1027355,0,768.4090909,5.0,658.6363636,3866,2004,3,5,1,3,0,497.63,6,0.0,1,7.49,1,5,3.0,12,0.0,227355,121,12.44
58,0,0,0,0.0,13,2.0,1.0,4,12727.27273,2,8.307692308,2,1026223,1,846.3636364,6.0,725.4545455,2376,2011,3,7,1,0,1,479.04,0,0.0,13,14.08,3,0,5.0,1,0.276923077,226223,25,4.369090909
59,10,3257,3,0.0,8,94.0,34.0,4,15272.72727,0,12.92307692,0,1023506,1,939.1666667,89.0,805.0,8462,1988,3,7,2,3,0,429.86,71,651.4,1,7.282,1,0,51.0,9,0.0,223506,215,0.196363636
60,10,0,3,1.0,8,7.0,1.0,3,13636.36364,1,13.0,0,1043164,0,589.4318182,6.0,544.0909091,4171,2005,3,4,2,0,0,542.22,8,0.0,13,19.789,4,7,3.0,9,0.461538462,243164,140,9.229090909
61,10,0,2,0.0,3,11.0,1.0,4,30545.45455,0,14.0,0,1023882,0,1012.5,16.0,810.0,4809,2002,3,5,1,0,1,876.0,0,0.0,8,7.89,1,0,12.0,7,0.092307692,223882,4,14.89
62,4,0,2,1.0,8,14.0,1.0,4,20454.54545,1,15.07692308,0,1011133,0,585.0,25.0,540.0,6089,2001,5,3,1,0,0,635.66,3,0.0,1,16.254,4,3,19.0,11,0.230769231,211133,215,9.5
63,2,0,6,0.0,2,8.0,1.0,4,30545.45455,1,15.69230769,0,1005552,1,910.0,8.0,780.0,1796,2008,3,10,1,0,0,899.68,32525,0.0,1,10.681,2,0,6.0,9,0.0,205552,31,9.95
64,10,349,6,1.0,3,8.0,1.0,3,3575.0,0,17.0,0,1006329,0,791.8181818,15.0,730.9090909,4718,2003,3,6,0,3,0,120.44,5,34.9,13,12.99,3,2,9.0,5,0.646153846,206329,328,6.190909091
65,0,4806,2,0.0,8,5.0,2.0,3,29454.54545,1,21.0,0,1022883,0,748.4848485,31.0,690.9090909,5082,2004,5,9,1,0,0,727.2,0,480.6,11,7.84,1,0,22.0,8,0.0,222883,99,9.793636364
66,10,0,3,0.0,37,11.0,1.0,0,17454.54545,1,22.15384615,0,1044457,0,796.25,12.0,735.0,12176,1983,3,8,1,0,0,542.89,3,0.0,10,12.141,3,3,9.0,12,0.1,244457,399,10.38
67,7,0,3,0.0,13,2.0,1.0,2,26263.63636,1,23.0,0,1045630,0,950.0,8.0,760.0,5024,2004,3,5,2,0,0,1098.35,3,0.0,12,15.488,3,3,8.0,2,0.092307692,245630,17,12.97090909
68,10,466,1,1.0,18,12.0,4.0,1,1636.363636,1,23.07692308,0,1003186,1,837.5,41.0,670.0,3683,2005,3,8,1,0,0,62.09,3,93.2,7,16.115,3,3,25.0,9,0.1,203186,297,18.78
69,8,0,1,1.0,38,3.0,1.0,2,5454.545455,0,26.0,0,1045418,1,772.7272727,5.0,618.1818182,3927,2003,3,7,1,0,0,177.25,10,0.0,6,18.249,4,9,4.0,4,0.830769231,245418,195,6.809090909
70,-1,0,0,1.0,10,2.0,4.0,4,20000.0,1,42.0,0,1038723,0,770.0,25.0,660.0,9557,1989,5,4,2,0,0,492.23,6,0.0,2,18.205,4,5,19.0,6,0.346153846,238723,48,5.62
71,10,4144,0,0.0,0,3.0,1.0,4,13090.90909,0,43.0,0,1011145,0,695.7954545,3.0,642.2727273,3957,2002,3,6,0,1,0,393.67,44240,414.4,1,12.254,2,0,3.0,4,1.292307692,211145,263,2.890909091
72,3,0,5,0.0,14,94.0,34.0,2,2863.636364,1,50.0,0,1037397,1,797.7272727,89.0,736.3636364,1644,2007,3,4,0,0,0,117.41,3880,0.0,10,11.421,2,1,51.0,10,0.6,237397,19,8.1
73,0,0,4,0.0,24,3.0,3.0,4,7238.636364,1,62.0,0,1035054,1,784.0909091,4.0,627.2727273,4443,2004,3,2,1,0,1,210.71,0,0.0,1,13.014,3,0,4.0,4,1.5,235054,228,1.947272727
74,2,0,4,1.0,19,6.0,1.0,1,15431.81818,1,69.23076923,0,1021051,1,750.0,9.0,600.0,7396,1996,5,4,1,0,1,498.14,3,0.0,11,24.99,5,3,7.0,7,0.9,221051,365,11.11
75,6,0,2,0.0,14,24.0,1.0,4,16675.0,1,78.46153846,1,1014004,0,875.0,25.0,700.0,4048,2003,5,9,2,0,0,402.06,0,0.0,3,15.61,4,0,13.0,10,2.584615385,214004,408,24.68181818
76,10,0,2,1.0,8,9.0,2.0,2,4254.545455,0,83.0,0,1001918,1,897.2727273,9.0,769.0909091,4353,2004,3,7,1,0,0,122.15,0,0.0,11,14.839,3,0,9.0,6,1.292307692,201918,215,6.201818182
77,10,0,3,0.0,45,10.0,1.0,4,11704.54545,0,83.0,0,1030736,0,834.1666667,17.0,770.0,6818,1994,5,12,2,0,1,318.46,70,0.0,2,16.78,3,0,10.0,8,0.276923077,230736,418,16.18181818
78,1,0,4,0.0,21,4.0,1.0,3,16000.0,1,86.53846154,1,1031714,1,639.5454545,9.0,548.1818182,4414,2004,3,3,2,0,1,643.63,6,0.0,1,28.468,6,5,6.0,4,0.830769231,231714,108,7.9
79,1,1694,4,0.0,14,94.0,34.0,4,7363.636364,1,92.30769231,0,1035615,1,827.2727273,89.0,763.6363636,1188,2007,3,7,1,0,0,309.62,11999,508.2,12,14.46,4,0,51.0,10,3.0,235615,340,0.872727273
80,2,0,3,0.0,2,11.0,1.0,1,6109.090909,1,94.76923077,2,1002521,1,791.8181818,4.0,730.9090909,2495,2008,3,12,1,0,0,186.78,3,0.0,5,13.519,3,3,3.0,10,3.769230769,202521,31,11.22545455
81,4,5449,6,0.0,9,6.0,2.0,3,32727.27273,0,98.0,0,1006072,0,1006.25,23.0,805.0,4567,2002,3,8,2,3,0,925.22,5,1634.7,3,6.228,1,2,15.0,2,0.092307692,206072,300,0.45
82,4,0,4,0.0,2,10.0,1.0,1,4018.181818,0,101.5384615,3,1013405,1,694.3181818,2.0,640.9090909,1399,2012,3,9,2,0,1,136.43,5,0.0,4,23.121,6,2,2.0,7,7.3,213405,230,16.98181818
83,0,111,1,0.0,21,0.0,2.0,3,4090.909091,1,117.6923077,0,1001907,0,761.3636364,7.0,609.0909091,1155,2013,3,1,2,1,1,157.59,4,33.3,5,9.229,2,4,3.0,3,0.553846154,201907,32,3.727272727
84,10,834,1,1.0,21,7.0,4.0,4,10227.27273,0,120.6153846,0,1023069,1,947.7272727,25.0,758.1818182,2587,2006,5,9,2,3,0,315.79,70,83.4,3,19.536,4,0,15.0,10,0.430769231,223069,163,23.44
85,4,257,2,0.0,23,3.0,1.0,4,2000.0,0,125.5384615,1,1043380,0,767.0454545,12.0,613.6363636,4475,2004,3,3,2,3,0,65.47,3,77.1,7,12.089,2,3,5.0,6,22.38461538,243380,178,8.972727273
86,5,343,5,0.0,4,14.0,2.0,0,5111.363636,0,126.9230769,0,1025753,1,690.3409091,5.0,552.2727273,4291,2005,3,1,0,3,0,140.56,3,102.9,2,11.539,2,3,0.0,10,2.2,225753,420,7.347272727
87,4,2070,2,1.0,9,25.0,3.0,2,9000.0,0,128.0769231,0,1016531,0,654.9242424,22.0,604.5454545,6088,1999,3,10,1,2,0,283.65,0,0.0,12,7.551,2,0,14.0,6,0.576923077,216531,186,0.481818182
88,9,8469,1,0.0,21,0.0,1.0,3,23727.27273,1,138.4615385,0,1016132,1,797.7272727,6.0,638.1818182,3134,2007,3,2,1,3,0,781.64,3,2540.7,7,17.57,4,3,2.0,9,0.861538462,216132,342,0.627272727
89,2,0,5,0.0,13,2.0,2.0,3,5318.181818,1,141.9230769,0,1040689,0,664.7727273,3.0,613.6363636,4595,2003,3,1,2,0,1,152.34,0,0.0,3,11.997,3,0,2.0,8,0.861538462,240689,124,25.68
90,3,620,1,0.0,14,94.0,34.0,1,2000.0,0,142.1538462,3,1034678,1,704.1666667,89.0,650.0,3073,2002,3,10,0,0,1,62.02,56,186.0,2,8.019,1,5,51.0,3,2.3,234678,19,6.718181818
91,1,669,1,0.0,7,1.0,2.0,1,2000.0,2,144.2307692,0,1035300,1,927.2727273,22.0,741.8181818,2162,2010,3,12,1,0,0,75.19,5,200.7,11,12.591,3,2,9.0,11,1.0,235300,396,10.46363636
92,6,0,3,0.0,38,2.0,1.0,4,29925.0,1,148.0,0,1001041,0,797.7272727,6.0,638.1818182,3776,2006,3,5,0,0,1,1046.03,3,0.0,11,14.031,3,3,5.0,9,1.076923077,201041,194,0.147272727
93,2,968,0,0.0,13,10.0,2.0,0,10472.72727,1,149.0,1,1014423,1,649.0909091,7.0,556.3636364,1645,2011,3,8,1,1,0,306.0,3,0.0,11,8.244,2,3,5.0,2,1.2,214423,17,4.549090909
94,6,0,2,0.0,3,10.0,3.0,3,21818.18182,0,154.1538462,2,1016945,1,875.0,25.0,700.0,3439,2007,3,1,0,0,1,768.68,5,0.0,4,10.439,2,2,14.0,6,0.346153846,216945,89,0.563636364
95,3,0,2,0.0,20,94.0,34.0,3,6800.0,0,155.0,0,1026196,1,660.3409091,89.0,609.5454545,2799,2001,3,11,2,0,1,227.58,18606,0.0,8,13.783,3,2,51.0,7,1.292307692,226196,524,4.1
96,1,3660,4,1.0,17,7.0,2.0,4,8090.909091,0,155.0769231,0,1035457,1,845.8333333,18.0,725.0,7093,1995,3,3,1,1,0,306.31,0,0.0,11,14.49,3,0,14.0,8,0.753846154,235457,279,7.31
97,6,0,5,0.0,5,6.0,1.0,4,16363.63636,0,155.7692308,0,1019910,1,834.1666667,5.0,770.0,8066,1990,3,11,0,0,1,460.56,664,0.0,13,6.62,1,2,5.0,12,3.461538462,219910,16,1.78
98,10,1078,5,0.0,21,3.0,1.0,4,2000.0,2,166.1538462,0,1021326,1,761.3636364,22.0,609.0909091,5722,1998,5,7,1,0,0,53.05,5,323.4,1,17.171,3,2,16.0,3,10.38461538,221326,226,4.372727273
99,10,15395,6,0.0,37,12.0,1.0,3,37818.18182,0,174.2307692,0,1027917,1,963.1818182,10.0,889.0909091,4048,2006,3,9,2,1,0,963.68,4,0.0,11,5.852,1,4,6.0,10,0.3,227917,464,10.26818182
100,6,0,6,1.0,24,27.0,2.0,4,20454.54545,0,175.3846154,0,1002725,0,874.5454545,3.0,807.2727273,6636,1996,5,12,1,0,1,559.79,0,0.0,11,13.519,3,0,3.0,2,3.138461538,202725,734,16.28181818
101,2,912,2,0.0,8,1.0,2.0,4,3000.0,1,182.0,0,1036258,1,821.969697,5.0,704.5454545,2434,2008,3,2,2,2,0,91.94,5,182.4,11,7.139,1,2,3.0,10,1.384615385,236258,136,1.15
102,5,778,4,0.0,14,5.0,2.0,3,11818.18182,1,183.0,0,1038062,1,736.6666667,5.0,680.0,1675,2013,3,5,1,3,0,371.64,6,233.4,7,18.0,4,5,2.0,12,5.446153846,238062,196,4.218181818
103,4,3273,3,1.0,21,3.0,2.0,0,7272.727273,1,184.0,0,1044824,0,629.3181818,5.0,580.9090909,4445,2005,3,12,1,2,0,248.3,4,327.3,3,6.615,1,4,4.0,2,0.923076923,244824,109,1.374545455
104,0,419,0,0.0,8,94.0,34.0,4,1963.636364,2,187.3846154,0,1045994,1,777.2727273,89.0,621.8181818,1277,2008,3,2,1,2,0,78.11,5132,83.8,2,9.531,2,3,51.0,8,8.7,245994,111,0.63
105,-1,300,5,1.0,13,1.0,2.0,3,909.0909091,1,204.9230769,0,1024410,0,900.0,15.0,720.0,7823,1994,3,3,2,3,0,31.88,0,60.0,0,9.17,2,0,10.0,8,1.846153846,224410,51,2.045454545
106,2,1161,2,0.0,8,7.0,1.0,4,5600.0,1,212.1538462,0,1028796,0,1036.363636,4.0,829.0909091,2465,2009,3,9,0,3,0,176.5,0,232.2,2,9.229,2,0,2.0,6,1.830769231,228796,99,5.563636364
107,5,947,0,1.0,14,18.0,2.0,4,6545.454545,1,216.0,1,1031887,0,659.8484848,25.0,609.0909091,5419,2001,3,4,0,3,0,189.1,6,94.7,3,8.39,2,5,7.0,2,3.015384615,231887,196,12.46090909
108,10,362,5,0.0,8,3.0,3.0,3,6000.0,1,216.0,0,1023510,1,988.6363636,9.0,790.9090909,3744,2007,3,4,2,2,0,193.41,0,72.4,13,9.93,2,0,4.0,7,0.969230769,223510,56,7.208181818
109,2,0,6,0.0,44,18.0,3.0,2,9090.909091,2,225.0,2,1007329,0,758.3333333,15.0,700.0,8128,1994,3,10,2,0,1,346.61,0,0.0,11,16.489,3,0,8.0,1,3.9,207329,349,19.46363636
110,-1,0,6,1.0,38,94.0,34.0,4,3272.727273,0,225.0769231,0,1010614,1,793.3333333,89.0,680.0,10623,1983,3,6,2,0,1,137.36,6,0.0,10,15.763,3,5,51.0,7,3.046153846,210614,195,19.12727273
111,-1,571,4,2.0,8,2.0,4.0,4,5931.818182,2,232.6153846,0,1024709,1,721.2121212,28.0,618.1818182,14184,1975,3,10,2,1,1,273.11,5,57.1,3,20.99,5,2,16.0,8,1.476923077,224709,167,2.945454545
112,10,4843,3,0.0,13,3.0,1.0,0,10000.0,0,234.2307692,1,1046088,1,677.7272727,3.0,580.9090909,3318,2004,3,7,0,1,0,362.78,0,1452.9,2,16.425,4,0,2.0,8,4.846153846,246088,523,7.281818182
113,0,762,4,0.0,11,3.0,1.0,4,10000.0,0,235.8461538,2,1019503,0,755.6818182,7.0,604.5454545,5236,2003,3,8,2,3,0,332.1,5,228.6,13,11.99,2,2,2.0,12,47.16923077,219503,248,14.68181818
114,10,4115,5,0.0,21,94.0,34.0,4,11818.18182,2,241.1538462,0,1038321,1,792.8030303,89.0,731.8181818,5204,1993,3,12,0,2,0,409.3,968,823.0,3,8.32,1,0,51.0,3,2.3,238321,342,0.905454545
115,-1,0,4,1.0,23,2.0,2.0,1,5454.545455,0,244.0,0,1009615,0,910.0,8.0,780.0,6970,1997,3,6,2,0,1,163.67,0,0.0,2,10.99,2,0,4.0,7,1.615384615,209615,146,1.063636364
